,kappa,sigma,sigma^2,w1,w2
AAPL,0.5381086,0.015743554,0.00024785948,0.97661906,0.0050873533
AXP,1.036925,0.014627022,0.00021394977,0.8639083,0.07376921
BA,0.9823117,0.014891357,0.00022175252,0.7340578,0.266926
CAT,1.1361088,0.016638698,0.0002768463,0.8884628,0.049417786
CSCO,0.95997125,0.01595704,0.00025462714,0.85782206,0.08900341
CVX,0.9812435,0.013353359,0.0001783122,0.9570615,0.0
DIS,0.6640165,0.013465288,0.00018131398,0.9927274,0.0
DWDP,0.95707655,0.027325591,0.00074668793,1.0083288,0.0
GE,0.70430684,0.013987877,0.00019566072,0.9805482,0.0
GS,1.1683183,0.016712869,0.00027931997,0.8139981,0.008870414
HD,0.35963532,0.012631989,0.00015956715,0.48513845,0.52822566
IBM,0.31175473,0.009540029,9.101215e-05,0.65906566,0.2514415
INTC,1.0469007,0.014824521,0.00021976641,0.8636573,0.061018597
JNJ,1.3228925,0.009714181,9.436531e-05,0.98970187,0.0
JPM,0.7994978,0.016325524,0.00026652272,0.9776938,0.0
KO,1.0700444,0.009116334,8.3107545e-05,0.7890991,0.1822419
MCD,0.7873811,0.009643635,9.299969e-05,1.0215477,0.0
MMM,1.3458123,0.011454568,0.00013120714,0.9977959,0.0
MRK,1.1969739,0.01212989,0.00014713423,0.96285737,0.0
MSFT,1.3063803,0.014159561,0.00020049317,1.0006689,0.0
NKE,1.1553125,0.014894001,0.00022183127,1.013394,0.0
PFE,0.5440512,0.011659597,0.0001359462,0.62741745,0.47091264
PG,0.9466278,0.008991028,8.083859e-05,0.9163759,0.0
TRV,1.1514208,0.01150237,0.00013230451,0.88028777,0.0
UNH,1.3660054,0.014172175,0.00020085054,0.45835334,0.5912115
UTX,0.6946984,0.012320216,0.00015178772,1.0127939,0.0
V,0.53386414,0.0150816,0.00022745467,0.5681526,0.45285535
VZ,0.84289336,0.01444318,0.00020860543,0.996468,0.0
WMT,1.4430493,0.010837464,0.00011745062,0.9707566,0.0
XOM,0.9868494,0.011751163,0.00013808983,0.88636476,0.050302707
